"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Создание нового аккаунта","9950","checkAddNewAccount","Sause Demo Lyamkina","2026-06-12","passed","2026-06-12","tests.NewAccountTest","Chrome","tests.NewAccountTest","checkAddNewAccount"
"Проверка создания нового контакта","8240","checkAddNewContact","Sause Demo Lyamkina","2026-06-12","passed","2026-06-12","tests.NewContactTest","Firefox","tests.NewContactTest","checkAddNewContact"
"Создание нового аккаунта. Негатив","7701","checkAddNewAccountNegative","Sause Demo Lyamkina","2026-06-12","passed","2026-06-12","tests.NewAccountTest","Chrome","tests.NewAccountTest","checkAddNewAccountNegative"
"Создание нового контакта. Негатив","5309","checkAddNewAccountNegative","Sause Demo Lyamkina","2026-06-12","passed","2026-06-12","tests.NewContactTest","Firefox","tests.NewContactTest","checkAddNewAccountNegative"
