"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Создание нового аккаунта. Негатив","4772","checkAddNewAccountNegative","SuiteCRM Lyamkina","2026-06-12","passed","2026-06-12","tests.NewAccountTest","Chrome","tests.NewAccountTest","checkAddNewAccountNegative"
"Создание нового контакта. Негатив","6223","checkAddNewAccountNegative","SuiteCRM Lyamkina","2026-06-12","passed","2026-06-12","tests.NewContactTest","Firefox","tests.NewContactTest","checkAddNewAccountNegative"
"Проверка создания нового контакта","8960","checkAddNewContact","SuiteCRM Lyamkina","2026-06-12","passed","2026-06-12","tests.NewContactTest","Firefox","tests.NewContactTest","checkAddNewContact"
"Создание нового аккаунта","8963","checkAddNewAccount","SuiteCRM Lyamkina","2026-06-12","passed","2026-06-12","tests.NewAccountTest","Chrome","tests.NewAccountTest","checkAddNewAccount"
